item_id,fulfillable_quantity,fulfillment_service,fulfillment_status,gift_card,grams,name,price,product_exists,product_id,quantity,requires_shipping,sku,taxable,title,total_discount,variant_id,variant_inventory_management,variant_title,vendor
13848845353261,0,manual,fulfilled,false,0,VTech Baby Rhyme and Discover Book,0.10,true,8257895760173,1,true,TOY77,true,VTech Baby Rhyme and Discover Book,0.00,44838780535085,shopify,,VTECH
13848845386029,0,manual,fulfilled,false,0,Monster High Great Scarrier Reef Glowsome Ghoulfish Lagoona Blue Doll,0.10,true,8320035160365,1,true,TOY396,true,Monster High Great Scarrier Reef Glowsome Ghoulfish Lagoona Blue Doll,0.00,45051970814253,shopify,,MONSTER HIGH
13848845418797,0,manual,fulfilled,false,0,Nintendo Super Famicom Mini,0.10,true,8257891402029,1,true,TOY25,true,Nintendo Super Famicom Mini,0.00,44838768279853,shopify,,NINTENDO
13848847221037,0,manual,fulfilled,false,0,Hot Wheels Star Wars Trench Run Play Set,0.10,true,8333902283053,1,true,TOY232,true,Hot Wheels Star Wars Trench Run Play Set,0.00,45096182513965,shopify,,STAR WARS
13848847253805,0,manual,fulfilled,false,0,Playskool Mr. Potato Head Luke Frywalker,0.10,true,8320034341165,1,true,TOY378,true,Playskool Mr. Potato Head Luke Frywalker,0.00,45051969700141,shopify,,PLAYSKOOL
13848848302381,0,manual,fulfilled,false,0,Littlest Pet Shop Mini 2-Pack,0.10,true,8333921976621,1,true,TOY443,true,Littlest Pet Shop Mini 2-Pack,0.00,45096224588077,shopify,,LITTLEST PET SHOP
13848848335149,0,manual,fulfilled,false,0,Hasbro Gaming Pie Face Sky High,0.10,true,8320019628333,1,true,TOY15,true,Hasbro Gaming Pie Face Sky High,0.00,45051944370477,shopify,,HASBRO
13848848367917,0,manual,fulfilled,false,0,Rider build bottle change Rider Series 03 Masked Rider build Hawk Gatling form,0.10,true,8333909950765,1,true,TOY409,true,Rider build bottle change Rider Series 03 Masked Rider build Hawk Gatling form,0.00,45096191983917,shopify,,MASKED RIDER
13848850006317,0,manual,fulfilled,false,0,Kuu Kuu Harajuku Music's Purse Playset,0.10,true,8257932886317,1,true,TOY474,true,Kuu Kuu Harajuku Music's Purse Playset,0.00,44838891127085,shopify,,NICKELODEON
13848850039085,0,manual,fulfilled,false,0,"VANS | 
ERA 59 MOROCCAN | GEO/DRESS BLUES - 8 / blue",0.10,true,8257982890285,1,true,VN-04-blue-8,true,"VANS | 
ERA 59 MOROCCAN | GEO/DRESS BLUES",0.00,44839091667245,shopify,8 / blue,VANS
13848850071853,0,manual,fulfilled,false,0,Nerf N-Strike Elite Retaliator Blaster Toy,0.10,true,8333881934125,1,true,TOY31,true,Nerf N-Strike Elite Retaliator Blaster Toy,0.00,45096150237485,shopify,,NERF
13848850137389,0,manual,fulfilled,false,0,Dinotrux Dozer Die-Cast Character,0.10,true,8257892712749,1,true,TOY43,true,Dinotrux Dozer Die-Cast Character,0.00,44838772965677,shopify,,MATTEL
13848854200621,0,manual,fulfilled,false,0,Gundam HG 1/144 Astaroth,0.10,true,8333893828909,1,true,TOY154,true,Gundam HG 1/144 Astaroth,0.00,45096168030509,shopify,,GUNDAM
13848854233389,0,manual,fulfilled,false,0,PJ Mask Rev-N-Rumble Gekko Mobile,0.10,true,8257922400557,1,true,TOY359,true,PJ Mask Rev-N-Rumble Gekko Mobile,0.00,44838860783917,shopify,,PJ MASKS
